"cryptoId","start","duration","open","close","high","low","volumeUSD","source","count","average","std","positive","negative","score"
"ada","1546300800000",86400000,0.04245,0.04539,0.04695,0.0418,251561.33,,,,,,,
"ada","1546387200000","86400000",0.04539,0.04234,0.04539,0.04209,176764.35,"telegram",1,4,0,1,0,1
"ada","1546473600000","86400000",0.04234,0.04389,0.0449,0.04162,121322.1,"telegram",2,3.5,0.5,0.5,0,1
"ada","1546560000000","86400000",0.04389,0.04456,0.04625,0.04236,276709.82,"telegram",1,4,0,1,0,1
"ada","1546646400000",86400000,0.04456,0.04929,0.04995,0.04448,385540.99,,,,,,,
"ada","1546732800000",86400000,0.04929,0.04728,0.05117,0.04728,341846.46,,,,,,,
"ada","1546819200000","86400000",0.04728,0.04813,0.06757,0.04647,569574.96,"telegram",1,3,0,0,0,NaN
"ada","1546905600000","86400000",0.04813,0.05195,0.05315,0.04813,568388.38,"telegram",2,2.5,0.5,0,0.5,0
"ada","1546992000000","86400000",0.05195,0.04412,0.06305,0.04172,1424960.11,"telegram",3,2.3333333333333335,0.4714045207910317,0,0.6666666666666666,0
"ada","1547078400000","86400000",0.04412,0.04352,0.04603,0.0421,406404.09,"telegram",1,4,1,1,0,1
"ada","1547164800000","86400000",0.04352,0.04338,0.04526,0.04224,377667.57,"telegram",1,3,0,0,0,NaN
"ada","1547251200000",86400000,0.04338,0.03971,0.04464,0.03917,265248.61,,,,,,,
"ada","1547337600000",86400000,0.03971,0.04399,0.04468,0.03971,377006.11,,,,,,,
"ada","1547424000000","86400000",0.04399,0.04214,0.04472,0.04139,195317.78,"telegram",3,2.6666666666666665,0.4714045207910317,0,0.3333333333333333,0
"ada","1547510400000","86400000",0.04214,0.04433,0.04579,0.04206,304354.88,"telegram",1,3,0,0,0,NaN
"ada","1547596800000","86400000",0.04433,0.04517,0.04665,0.04344,269795.91,"telegram",2,2,0.4714045207910317,0,1,0
"ada","1547683200000","86400000",0.04517,0.04408,0.04623,0.0432,109062.87,"telegram",3,3,0,0,0,NaN
"ada","1547769600000","86400000",0.04408,0.04555,0.04738,0.04337,159256.11,"telegram",2,2.5,0.5,0,0.5,0
"ada","1547856000000",86400000,0.04555,0.04305,0.04745,0.04179,453573,,,,,,,
"ada","1547942400000",86400000,0.04305,0.04266,0.04551,0.0421,318417.87,,,,,,,
"ada","1548028800000","86400000",0.04266,0.04332,0.04487,0.04133,370470.94,"telegram",3,3,0,0,0,NaN
