"cryptoId","start","duration","open","close","high","low","volumeUSD","source","count","average","std","positive","negative","score"
"trx","1546300800000",86400000,0.01977,0.02035,0.02176,0.02004,8943398.22,,,,,,,
"trx","1546387200000",86400000,0.02035,0.0202,0.0207,0.01901,12163054.46,,,,,,,
"trx","1546473600000",86400000,0.0202,0.02164,0.02278,0.02021,15740769.47,,,,,,,
"trx","1546560000000",86400000,0.02164,0.02239,0.02317,0.02076,21400545.21,,,,,,,
"trx","1546646400000",86400000,0.02239,0.02319,0.02393,0.02267,16303397.12,,,,,,,
"trx","1546732800000",86400000,0.02319,0.02379,0.02405,0.02221,15660647.58,,,,,,,
"trx","1546819200000",86400000,0.02379,0.02652,0.02712,0.02345,27705511.06,,,,,,,
"trx","1546905600000",86400000,0.02652,0.0285,0.02993,0.02568,27833299.15,,,,,,,
"trx","1546992000000",86400000,0.0285,0.02601,0.02965,0.02409,53568841.13,,,,,,,
"trx","1547078400000",86400000,0.02601,0.02506,0.02748,0.02504,21894687.54,,,,,,,
"trx","1547164800000",86400000,0.02506,0.02344,0.02484,0.02295,15122424.02,,,,,,,
"trx","1547251200000",86400000,0.02344,0.02128,0.02191,0.02069,10799296.71,,,,,,,
"trx","1547337600000",86400000,0.02128,0.02577,0.02761,0.02342,30871508.43,,,,,,,
"trx","1547424000000",86400000,0.02577,0.02438,0.02493,0.02326,17656463.37,,,,,,,
"trx","1547510400000",86400000,0.02438,0.02517,0.02531,0.02412,12657946.22,,,,,,,
"trx","1547596800000",86400000,0.02517,0.02535,0.02633,0.02457,12001129.64,,,,,,,
"trx","1547683200000",86400000,0.02535,0.0247,0.02531,0.02439,8335037.48,,,,,,,
"trx","1547769600000",86400000,0.0247,0.02468,0.02559,0.02433,8560659.59,,,,,,,
"trx","1547856000000",86400000,0.02468,0.02373,0.0241,0.02324,6836087.94,,,,,,,
"trx","1547942400000",86400000,0.02373,0.02561,0.02568,0.02337,13007878.5,,,,,,,
